Date,open,high,low,close,volume
2018-01-02,148.57992718394723,150.4495148339778,148.20980657958236,150.41156005859375,32573300
2018-01-03,150.55388256377776,152.00589502864932,150.52541286689996,151.87303161621094,29383600
2018-01-04,152.3950357580371,152.594323682689,151.92052139130303,152.1387939453125,24776100
2018-01-05,152.86005186405396,153.77111126021396,152.57534037236846,153.66671752929688,26992300
2018-01-08,153.66671000596813,154.34052668726702,153.6097706066243,154.2646026611328,23159100
2018-01-09,154.56830547768433,154.72963862495482,153.80909407430065,154.27410888671875,24782400
2018-01-10,153.59081635190958,153.9419668523475,152.90751446260848,153.91348266601562,34004000
2018-01-11,154.1792225395225,154.97640324221769,153.9419653436468,154.96690368652344,20473500
2018-01-12,154.83406415385898,156.26710710617485,154.63477618791546,156.10577392578125,37762700
2018-01-16,157.14013479674176,157.93731523100448,155.1946235494618,155.65965270996094,41231800
2018-01-17,156.399933132272,157.57671945599563,155.64070727375525,157.33946228027344,33849900
2018-01-18,157.09272399928628,157.72857150856154,156.72260337505057,157.36795043945312,26432200
2018-01-19,157.83298048923967,158.11769203099846,157.10222424429932,157.8614501953125,38937600
2018-01-22,157.80452575732508,159.5507354736328,157.62420794773308,159.5507354736328,26081400
2018-01-23,160.0442377725754,161.01225133342462,159.9683137206429,160.86988830566406,37989700
2018-01-24,161.21151692580287,161.56266742738686,158.90538390265752,159.82594299316406,54287400
2018-01-25,160.92681343555756,160.9837528440695,159.25651355371613,159.7689971923828,28925000
2018-01-26,160.6610768899374,162.23646815092565,160.3479101337086,162.2174835205078,32038200
2018-01-29,161.8758389773778,162.19850527322117,161.08814338621008,161.42979431152344,37277800
2018-01-30,159.95877149924289,160.7844217373679,159.26598468427625,160.1011199951172,44987700
2018-01-31,161.0027143300407,161.32539509596234,159.7594890409905,160.7654571533203,42449200
2018-02-01,159.5317281831209,161.07863509685941,158.88638114539722,159.39886474609375,38037900
2018-02-02,158.77249384229592,159.1520995046274,156.08674106226871,156.2196044921875,68478100
2018-02-05,154.7581288112237,157.3015189694585,149.9465459859695,150.0604248046875,105372200
2018-02-06,147.86819256102285,154.22668337948508,147.1943901424284,154.03688049316406,118537900
2018-02-07,153.5433521894932,155.2136520257901,152.03439998095342,152.0438995361328,91028300
2018-02-08,152.43299837636255,152.6038310873091,145.6284637451172,145.6284637451172,94184800
2018-02-09,147.68782742360304,149.2252636165004,142.47766963069813,148.14337158203125,113836600
2018-02-12,149.6618547209522,151.7971697471957,148.4850681521272,150.772216796875,63050600
2018-02-13,149.9085690432407,151.8540661535107,149.6807969584502,151.55038452148438,31785600
2018-02-14,150.65830931052557,154.62524240950876,149.94653777047583,154.3879852294922,52107400
2018-02-15,155.77359144014488,157.2540740966797,154.160245326768,157.2540740966797,51633900
2018-02-16,156.74162173767192,158.26005933882948,156.28607742439561,156.55181884765625,62256300
2018-02-20,156.00135453785245,158.18410913370153,155.9349155727637,156.86495971679688,36785600
2018-02-21,157.63362422123407,159.1710456069011,156.32396038542925,156.4188690185547,41161800
2018-02-22,157.10222015969532,157.93737013219928,156.00135776443034,156.3999481201172,37074400
2018-02-23,157.6621475524475,159.59815979003906,157.0168004858975,159.59815979003906,50096900
2018-02-26,160.34791869522158,161.71450805664062,160.21505523726287,161.71450805664062,39266700
2018-02-27,161.76194163339252,162.02766851520525,159.63612657889087,159.7120361328125,42209900
2018-02-28,160.6231001001526,161.14506875739272,158.58269428124729,158.6870880126953,42936300
2018-03-01,158.77242747684508,159.50318327646298,154.6916031479046,156.09616088867188,76809900
2018-03-02,154.2171512497195,157.80447828646155,153.70468216491105,157.52926635742188,57445100
2018-03-05,156.78907677746818,159.6836034453978,156.2006689904618,159.27552795410156,38540200
2018-03-06,160.05373458924836,160.4902942996256,158.94337240022142,159.9493408203125,29480900
2018-03-07,158.72505095747482,160.45229015197168,158.44983900459735,160.3194122314453,34609400
2018-03-08,160.98376904437214,161.3159204544604,160.3384218938911,161.20204162597656,25828400
2018-03-09,162.35036505482176,164.33383178710938,162.1131078529396,164.33383178710938,38310500
2018-03-12,164.8177735119218,165.58648425969093,164.4476529859209,165.20687866210938,37635000
2018-03-13,165.58659438715608,166.27939606099406,162.54021906577952,162.95779418945312,55638900
2018-03-14,163.81184924187508,163.93522761038608,162.21747344945368,162.9292449951172,40536400
2018-03-15,163.04312227912885,163.73590912752334,162.18898781958885,162.78688049316406,28810400
2018-03-16,163.06212812416322,163.4227492050449,162.22697818332838,162.3029022216797,31176700
2018-03-19,160.74113326830454,160.85519684268178,157.45215999669804,158.83999633789062,71395100
2018-03-20,158.906539394478,159.73352937399957,158.37422333848593,159.36280822753906,34075700
2018-03-21,158.94451139507484,160.41788046707856,157.97492779243422,158.66883850097656,43863500
2018-03-22,156.47304395310047,157.57570663054403,154.55289198093436,154.7525177001953,66607300
2018-03-23,154.5719272856233,155.22782179887355,150.5985438523131,150.67459106445312,80110400
2018-03-26,153.72592117720217,156.46356278160079,151.29246841974674,156.2734375,57481500
2018-03-27,157.43307839646528,157.43307839646528,149.88556563424376,151.21636962890625,78889100
2018-03-28,150.35140413393094,151.88181985894275,148.3266887729247,149.4768829345703,89369700
2018-03-29,150.2849007445791,153.71645395438313,148.8875637488858,152.2145538330078,68692600
2018-04-02,151.1308798129423,151.84380613499707,146.27347455849497,147.82289123535156,85549400
2018-04-03,149.11563760310335,150.11373717231098,146.80576370434213,149.48635864257812,64090000
2018-04-04,146.59662487972517,152.3095343809187,146.4255150661426,151.84376525878906,65768700
2018-04-05,153.35517997346352,153.59282203977622,151.59662288094117,152.7087860107422,43054900
2018-04-06,151.02629080642194,152.5281904078699,148.17458600723435,148.88751220703125,59870900
2018-04-09,150.17079334761254,152.92745043927266,149.67650821767862,149.9331512451172,41810400
2018-04-10,152.29059659355548,153.73545037301483,151.20694900669832,153.2411651611328,48296800
2018-04-11,152.28105422816208,153.99208024287634,152.18600609121958,152.3571014404297,41622100
2018-04-12,153.27911384546206,154.7239814915032,153.1935661932375,154.19166564941406,30467900
2018-04-13,154.9616347367183,155.18976182581738,152.72779362582364,153.3931884765625,44604900
2018-04-16,154.46736106666626,155.1232555666883,153.49777726208924,154.5624237060547,28180800
2018-04-17,156.1213768112528,158.23164005715398,155.8076874634,157.88943481445312,35536100
2018-04-18,157.8893957179528,158.74490136060282,157.13843866084108,158.21258544921875,29573900
2018-04-19,157.41413426876304,157.7848553679427,156.21640879101116,156.75823974609375,34705700
2018-04-20,156.35901475136743,156.47307832770545,153.73543645940114,154.2772674560547,49197100
2018-04-23,155.02817597354786,155.6365390873456,153.0605071931867,153.8874969482422,33040600
2018-04-24,154.61942825191645,154.8570703040049,149.6099297326263,150.62704467773438,70256800
2018-04-25,150.89324040627181,151.4350568783788,148.73544597163283,150.80767822265625,52089300
2018-04-26,152.75633315114143,154.49587499731723,152.26203354073357,153.98257446289062,43005500
2018-04-27,156.24493162634806,156.28296248691558,153.20311548450198,154.07763671875,51043400
2018-04-30,154.43885031452015,155.39891918439005,152.6042457458402,152.98448181152344,35615300
2018-05-01,152.5852562268655,154.75255119743784,152.2240355635955,154.73353576660156,36513500
2018-05-02,154.99971015927127,155.4845094174208,153.64040405357648,153.82101440429688,38646800
2018-05-03,153.04149862430418,154.37228846270696,151.34948818496864,153.8019561767578,60337100
2018-05-04,153.13653752069126,157.08138961232476,153.02245947756694,156.7201690673828,41543200
2018-05-07,157.4521598335246,158.53580730255655,157.32858129172817,158.0225067138672,32500200
2018-05-08,157.68977578259884,158.20307628611133,156.7106915872811,157.8608856201172,26040200
2018-05-09,158.14609875674964,159.69553026926292,157.5852667446284,159.5814666748047,29122700
2018-05-10,160.0947182307138,161.3494754028478,159.97113970495224,161.2353973388672,27067600
2018-05-11,161.04531264353503,161.46356510195807,160.37991759810026,161.08334350585938,24688800
2018-05-14,161.4540561765778,162.37610872854123,161.0928355260493,161.35899353027344,21821700
2018-05-15,160.08521442996425,160.17076209777406,158.72589418850436,159.5718994140625,49361600
2018-05-16,159.78099384397697,160.9977198927063,159.70494665286657,160.6269989013672,22941200
2018-05-17,160.0661717834902,161.22586609833644,159.2296671617601,160.00914001464844,27480200
2018-05-18,159.3912863654858,159.942617722739,158.9445326064488,159.1821746826172,26217900
2018-05-21,160.4179040269929,161.121329803515,159.39128850363144,160.07569885253906,22954600
2018-05-22,160.807675727946,161.07383375474,159.5814487119682,159.86660766601562,19477700
2018-05-23,158.64985396308705,161.23540107048606,158.63085303908537,161.21640014648438,26557800
2018-05-24,161.16883850097656,161.45401185708553,159.54336052431904,161.16883850097656,27696500
2018-05-25,161.14984928966103,161.9103068614792,160.84567496364684,161.33045959472656,27460500
2018-05-29,160.5984925095392,161.52054481253543,159.65743928603132,160.6175079345703,41220500
2018-05-30,161.19738314465255,162.05288886108707,160.85517795717436,161.76771545410156,22665800
2018-05-31,161.76769555435055,162.73727921701973,161.24489462779815,161.66314697265625,35670900
2018-06-01,162.47120611261826,164.2962963395338,162.4236747750601,164.2012481689453,45543300
2018-06-04,164.6194051936483,165.72206786228813,164.51485660882346,165.68405151367188,20459600
2018-06-05,166.07383890482117,166.47307595804836,165.46547560878096,166.19740295410156,24779300
2018-06-06,166.368487684185,167.19547756194655,165.53198283939994,167.16696166992188,25036600
2018-06-07,167.19548402351393,167.2335003795084,164.9711573324883,165.80764770507812,39600300
2018-06-08,165.02819560471713,166.23542164444802,164.61944361296338,165.81716918945312,31780300
2018-06-11,165.69358440190547,166.6726687462439,165.6650685087324,166.26393127441406,22319700
2018-06-12,166.4920489408209,167.3000378801192,166.3114531291812,167.13844299316406,22511800
2018-06-13,167.39511003230024,168.38369483940536,166.75821640611383,167.1289520263672,37858600
2018-06-14,167.8988856868182,169.09659653900113,167.7753071647401,168.82093811035156,35916000
2018-06-15,168.18405132316332,168.5642873661474,167.40459281795935,168.23158264160156,49615700
2018-06-18,167.1722757890293,168.27728402426746,166.64834132566838,168.1343994140625,31633200
2018-06-19,166.01012772250397,167.69622455513903,165.47667237191425,167.6581268310547,38236000
2018-06-20,168.42972931934176,169.5442730534102,168.27730935513551,168.848876953125,33038000
2018-06-21,169.2775678374873,169.44904395385657,167.0580008718632,167.38189697265625,43469400
2018-06-22,167.94392290831144,168.0105975642232,166.41023139551075,167.0103759765625,30073200
2018-06-25,165.4957948915473,165.7434810936995,161.76159107587208,163.24765014648438,77799700
2018-06-26,163.84770900913205,164.85746582035796,163.2475644933565,163.91439819335938,39008100
2018-06-27,164.60978537968813,165.35281448494817,161.57097977802803,161.68528747558594,52843500
2018-06-28,161.48528067483755,163.6286376377975,161.15186377748256,163.0761260986328,46407700
2018-06-29,163.85725043410412,164.72412272478533,163.27616197432067,163.51431274414062,36408500
2018-07-02,161.98059363326098,164.65742004027462,161.62813520530406,164.6097869873047,31770000
2018-07-03,165.2289973902896,165.2289973902896,162.54266432705782,162.70460510253906,25512700
2018-07-05,163.76199722600904,164.85748494210586,162.92370187316112,164.72412109375,31626200
2018-07-06,165.10513639959862,167.41043360064867,164.80029650413766,167.28659057617188,37005600
2018-07-09,168.15342969948722,168.82976946460778,167.48661072839533,168.7916717529297,27362100
2018-07-10,169.10607553946653,169.2965932176049,168.33446949488743,168.91555786132812,23902500
2018-07-11,167.59140116474958,168.67738229493742,167.46757268675313,168.0581817626953,30280600
2018-07-12,168.80125517345036,170.9541473388672,168.68694746044372,170.9541473388672,27930100
2018-07-13,170.9445954212586,171.37326383901427,170.4682939491818,171.09701538085938,28049800
2018-07-16,171.13513304603836,171.42091686970147,170.4016391591716,170.68740844726562,21405300
2018-07-17,168.87745046115714,172.0877177635937,168.87745046115714,171.72573852539062,31034100
2018-07-18,171.7447625608509,171.88766171063065,170.8779050086775,171.40182495117188,23220800
2018-07-19,170.78266063205456,171.35422823274388,170.34447140235156,170.5445098876953,31094100
2018-07-20,171.05896607603597,171.63051928296272,170.31592219655968,170.50645446777344,35897300
2018-07-23,170.00153811941735,171.1256026846176,169.31566279518495,171.0493927001953,22184700
2018-07-24,172.81172346716582,173.42138884013542,171.0494020035227,171.75433349609375,36900300
