Date,open,high,low,close,volume
2018-01-02,212.72171362760028,212.83307249793788,211.77091538549834,212.44761657714844,4454900
2018-01-03,212.70458387741584,213.47549569119482,212.49044025466728,213.2442169189453,5528600
2018-01-04,214.10940079049462,214.93170511794673,213.81815548215917,214.65760803222656,4932900
2018-01-05,215.32568886027005,216.5848543440996,214.97449019981934,216.47349548339844,3349200
2018-01-08,216.4992682317432,216.68771572251399,216.04528465951176,216.36221313476562,3847500
2018-01-09,216.88467112247795,217.81833423510602,216.47351900256388,217.41575622558594,5031400
2018-01-10,216.85900507667688,217.50999711289043,216.24227027593057,217.2444610595703,2357600
2018-01-11,217.57001065625926,219.00048907914652,217.4415296576117,218.9490966796875,2760400
2018-01-12,219.82269894045257,220.97050553344994,219.6942180047769,220.9191131591797,3678400
2018-01-16,222.9406006781746,223.35176578418495,220.06252335782762,220.83343505859375,8102900
2018-01-17,222.0754844108233,223.7286667075104,221.45874980524883,223.63442993164062,6144400
2018-01-18,223.77153987069863,223.84008047734253,222.17832366408848,222.84645080566406,4860200
2018-01-19,222.87566708229923,223.30419174591069,222.20716965326812,223.29563903808594,4057600
2018-01-22,222.5756381673895,224.55541928638013,222.51563845952674,224.5297088623047,3359900
2018-01-23,224.40118128951983,224.79544275450564,223.9212358282959,224.4354705810547,3483300
2018-01-24,225.40389467838634,226.05526031019426,223.57837606139046,225.03536987304688,7106400
2018-01-25,225.90087530193628,226.59510878227755,224.90672186834658,226.0465850830078,5918900
2018-01-26,226.53518349917215,227.91501974667884,226.30376354470366,227.89788818359375,3861700
2018-01-29,227.597873322265,227.88926677064833,226.3637209790808,226.39801025390625,4605600
2018-01-30,224.10113503461378,224.92389457900504,222.90982461950952,223.3640594482422,9409500
2018-01-31,225.40388889005618,225.54101986981323,223.0812934039975,224.06689453125,5360500
2018-02-01,222.7899643147168,225.31824392410147,222.63567557095473,224.22122192382812,5182000
2018-02-02,222.49851731480067,222.70422689627932,218.3161263548133,218.48753356933594,9486600
2018-02-05,216.16486256643722,218.56460196830648,204.88609653192108,208.49427795410156,19888200
2018-02-06,204.25188119902984,213.68798400576088,203.58337108764854,213.37088012695312,20493100
2018-02-07,212.75386782106366,216.65343066376343,212.17964650813323,213.19952392578125,12657100
2018-02-08,213.37090535393943,213.47374703975996,204.40616787660142,204.55186462402344,15829100
2018-02-09,206.90028946455712,209.1457546065093,200.34385400363087,207.43165588378906,19858000
2018-02-12,209.14568236897452,212.41961607579216,208.31434372939123,210.97976684570312,10458400
2018-02-13,209.7370249753395,211.9053578231414,209.40277640015543,211.32257080078125,6234000
2018-02-14,210.1226613476471,213.82511859276508,210.01124081426713,213.6622772216797,5764000
2018-02-15,215.65074541755388,216.4049530029297,212.96818994236003,216.4049530029297,6111500
2018-02-16,216.03969059301681,218.35105881504614,215.8420681642586,216.49510192871094,6399000
2018-02-20,215.18905995461088,216.17718526656424,213.5994533804017,214.2524871826172,8685200
2018-02-21,214.46723478372772,216.9676240098962,212.84326469987795,212.8518524169922,5894800
2018-02-22,213.63380670842884,215.97953879272333,213.54787707737648,214.3727569580078,6342300
2018-02-23,215.48973466341255,217.3457043132418,214.85390267837374,217.31134033203125,5119000
2018-02-26,218.52294879488443,220.98037414300842,218.2136204185224,220.75698852539062,6120900
2018-02-27,220.91169516126288,221.5647029402896,218.17929171211887,218.2136688232422,7219200
2018-02-28,219.2618495035891,219.76881336294198,214.98281860351562,214.98281860351562,5299300
2018-03-01,214.99146923550148,216.41780445858413,209.97347379234424,211.3568572998047,8144800
2018-03-02,209.26887941365854,211.30528350388667,208.07453077472388,210.81552124023438,6393400
2018-03-05,209.51800523918945,214.4930341879632,209.4836412560064,213.81422424316406,4891000
